x,y,rob
0.30379,5.9999,0.0082902
0.30315,5.9998,-0.10352
0.30303,5.9999,-0.10363
0.30227,5.9997,0.0064881
0.34218,5.9864,0.0085411
0.30302,5.9999,-0.10365
0.47952,5.603,0.23318
0.30302,6,0.042734
0.303,6,0.04279
0.30302,6,-0.10365
0.30301,6,-0.10366
0.303,6,0.042778
0.30301,6,-0.10366
0.30301,6,-0.10366
0.37263,5.7981,0.16216
0.30302,6,-0.10366
0.30301,6,-0.10366
0.30301,6,-0.10366
0.30181,5.9954,-0.033881
0.30301,6,-0.10366
0.30232,5.9544,0.042084
0.30301,6,-0.10366
0.30301,6,-0.10366
0.30301,6,-0.10366
0.30154,5.9256,0.051763
0.30301,6,-0.10366
0.30301,6,-0.10366
0.30301,6,-0.10366
0.30301,6,-0.10366
0.30291,5.9972,0.0061576
0.31095,5.9457,0.056375
0.30262,5.9987,-0.10381
0.30315,6,-0.10336
0.30314,6,-0.10337
0.30314,6,-0.10337
0.52642,5.3828,0.28885
0.30314,6,-0.10337
0.30273,5.9994,-0.10338
0.45471,5.5792,0.20952
0.43825,5.0652,0.28403
0.3003,5.9899,0.039968
0.48311,5.9622,0.20905
0.30029,5.9925,0.035056
0.58105,5.8416,0.31284
0.30268,5.9997,0.0068758
0.37519,5.2046,0.20257
0.30257,5.9999,-0.10454
0.30257,6,-0.10455
0.3002,5.9625,0.040232
0.38398,5.9514,0.05325
0.30256,6,-0.10299
0.30256,6,-0.103
0.3026,6,-0.10293
0.3026,6,-0.10293
0.33612,5.9526,0.010449
0.302,5.9989,0.0059291
0.3026,6,-0.10293
0.3026,6,-0.10293
0.3026,6,-0.10293
0.30247,5.9999,-0.10315
0.30246,5.9999,-0.10318
0.30247,6,-0.10315
0.30247,6,-0.10315
0.30247,6,-0.10315
0.30247,6,-0.10315
0.30247,6,-0.10315
0.30188,5.9991,-0.10526
0.32009,5.0394,0.18673
0.56178,5.3188,0.31965
0.30186,5.9992,0.0056903
0.30096,5.9984,-0.10558
0.30034,5.9986,-0.10577
0.30014,5.9978,0.0037445
0.41911,5.294,0.22435
0.30035,5.9987,-0.10574
0.30035,5.9987,-0.10575
0.30009,5.9974,-0.10707
0.35334,5.277,0.16775
0.31577,5.6794,0.094509
0.3001,5.9988,0.0033658
0.30003,5.9971,0.036703
0.31232,5.985,0.055986
0.30038,5.9985,-0.10722
0.30005,5.9952,0.035082
0.30038,5.9985,-0.10723
0.30035,5.998,-0.10731
0.30045,5.9996,-0.10629
0.30045,5.9997,-0.10628
0.30039,5.9993,-0.10556
0.30051,5.9999,-0.10617
0.40028,5.9375,0.14921
0.30052,6,-0.10616
0.30047,6,-0.10623
0.41435,5.755,0.20817
0.30048,6,-0.10623
0.30007,5.9995,-0.1071
0.30007,5.9997,-0.10706
0.30003,5.9995,-0.10713
0.30002,5.9995,-0.10714
0.37917,5.7,0.16395
0.30001,5.9995,-0.10717
0.32958,5.365,0.12894
0.30017,6,-0.10682
0.30016,6,-0.10683
0.30002,5.981,0.044259
0.30014,6,-0.10687
0.37491,5.9755,0.042726
0.30014,6,-0.10687
0.30014,6,-0.10687
0.30012,5.9994,-0.10618
0.30004,5.9991,-0.10634
0.3016,5.9997,0.0055041
0.31069,5.8254,0.10373
0.30003,5.9991,-0.10635
0.30002,5.9991,-0.10637
0.30001,5.9995,-0.10717
0.30231,5.9998,0.0064996
0.3,5.9995,-0.10718
0.3,5.9995,-0.10718
0.49856,5.8173,0.26804
0.33775,5.1992,0.1669
0.4525,5.684,0.22316
0.3,5.9995,-0.10718
0.44417,5.0359,0.28968
0.51093,5.1771,0.30499
0.3,5.9995,-0.10719
0.3,5.9995,-0.10718
0.3,5.9995,-0.10718
0.3,5.9995,-0.10718
0.3,5.9995,-0.10718
0.44923,5.8198,0.23734
0.30005,5.9998,-0.10708
0.30004,5.9998,-0.1071
0.30003,5.9998,-0.10712
0.30004,5.9998,-0.1071
0.30474,5.9463,0.048279
0.33863,5.4932,0.11606
0.30002,5.9999,-0.10713
0.56738,5.3268,0.31966
0.30003,6,-0.10795
0.30001,5.9997,-0.10716
0.30003,5.9999,-0.10711
0.30003,6,-0.10796
0.30027,6,-0.10664
0.34135,5.4037,0.13531
0.41765,5.1913,0.23824
0.30027,6,-0.10664
0.30026,6,-0.10664
0.30026,6,-0.10664
0.42444,5.138,0.26057
0.31638,5.7616,0.1114
0.30022,6,-0.10672
0.30022,6,-0.10672
0.30001,5.9997,-0.10716
0.30001,6,-0.108
0.31228,5.9323,0.063359
0.3,5.9985,-0.1064
0.31433,5.9784,0.059099
0.30001,5.9988,-0.10641
0.30004,5.999,-0.10635
0.30002,5.999,-0.10639
0.31797,5.2826,0.13606
0.30003,5.9993,-0.10634
0.30253,5.9999,-0.10461
0.30002,5.9994,-0.10636
0.30001,5.9994,-0.10638
0.4502,5.9269,0.19765
0.43656,5.5428,0.19747
0.30001,5.9994,-0.10638
0.3,5.9994,-0.10638
0.3,5.9994,-0.10639
0.3,5.9994,-0.10639
0.3,5.9994,-0.10639
0.30032,5.9994,-0.10583
0.30004,5.9976,0.0037073
0.30027,5.9994,-0.1059
0.30001,5.9577,0.041372
0.30021,5.9996,-0.10675
0.30007,5.9995,-0.10709
0.30004,5.9995,-0.10715
0.3001,5.9999,-0.107
0.30011,6,-0.10691
0.30012,6,-0.1069
0.42596,5.861,0.20032
0.30672,5.4112,0.099502
0.30007,6,-0.10704
0.30003,5.9999,-0.10711
0.30002,6,-0.10798
0.30002,6,-0.10798
0.30002,6,-0.10797
0.30002,6,-0.10798
0.35789,5.4097,0.15155
0.30001,6,-0.10799
0.3,5.9999,-0.10801
0.3109,5.9763,0.055489
0.3,5.9999,-0.10801
0.3,5.9999,-0.10801
0.30777,5.029,0.17932
0.3,5.9999,-0.10801
0.3,5.9999,-0.10801
0.3,5.9999,-0.10802
0.30008,6,-0.10702
0.3,5.9999,-0.10802
0.3,5.9999,-0.10802
0.3,5.9999,-0.10801
0.3,5.9999,-0.10801
0.30011,6,-0.10698
0.30011,6,-0.10698
0.30011,6,-0.10698
0.30002,5.9994,-0.10636
0.30011,6,-0.10698
0.50746,5.8308,0.26818
0.30011,6,-0.10698
0.30011,6,-0.10698
0.30004,5.9996,-0.10711
0.30021,5.9998,-0.10675
0.3002,5.9999,-0.10675
0.30008,5.9985,0.0036327
